feature,gain,repeat,fold
dominant_frequency_ratio,0.033847566694021225,0,0
mfcc_12_p90,0.021678587421774864,0,0
mfcc_delta_4_p90,0.0209505595266819,0,0
mfcc_delta_2_std,0.01915239728987217,0,0
mfcc_2_p10,0.01814597100019455,0,0
mfcc_12_p10,0.01671583764255047,0,0
mfcc_delta_0_p90,0.016002703458070755,0,0
rms_p10,0.015161937102675438,0,0
contrast_1_p90,0.01336305495351553,0,0
mfcc_delta_3_p10,0.012946637347340584,0,0
mfcc_delta_11_p90,0.012820637784898281,0,0
mfcc_4_p90,0.012474339455366135,0,0
mfcc_1_p90,0.012358689680695534,0,0
mfcc_delta_3_std,0.011764784343540668,0,0
flatness_p90,0.011533226817846298,0,0
mfcc_10_p90,0.011196794919669628,0,0
mfcc_6_mean,0.010919510386884212,0,0
mfcc_1_p10,0.010890080593526363,0,0
bandwidth_p90,0.010192384012043476,0,0
zero_crossing_rate_mean,0.010067882016301155,0,0
mfcc_10_mean,0.009758569300174713,0,0
mfcc_delta_8_p90,0.009428318589925766,0,0
mfcc_delta_2_p10,0.009408264420926571,0,0
mfcc_delta_13_std,0.009352524764835835,0,0
mfcc_delta_8_p10,0.009082334116101265,0,0
mfcc_12_mean,0.00906274002045393,0,0
mfcc_1_mean,0.00892240647226572,0,0
contrast_1_mean,0.008667940273880959,0,0
flatness_std,0.008510757237672806,0,0
rms_mean,0.008278080262243748,0,0
mfcc_19_p90,0.007989591918885708,0,0
mfcc_0_p90,0.00785688403993845,0,0
contrast_4_mean,0.007637898903340101,0,0
rolloff85_p90,0.007483262103050947,0,0
mfcc_delta_4_p10,0.007472402416169643,0,0
mfcc_delta_15_std,0.007280568592250347,0,0
mfcc_13_mean,0.007241558749228716,0,0
mfcc_7_p10,0.007158984895795584,0,0
mfcc_delta_12_p10,0.007002690341323614,0,0
mfcc_5_mean,0.006985105574131012,0,0
mfcc_delta_1_std,0.006980245001614094,0,0
mfcc_9_p90,0.006978906225413084,0,0
mfcc_delta_2_p90,0.006762462202459574,0,0
mfcc_delta_1_p10,0.006586669012904167,0,0
mfcc_16_p90,0.006584146060049534,0,0
mfcc_delta_6_p90,0.006560395006090403,0,0
mfcc_delta_0_p10,0.006538115441799164,0,0
mfcc_delta_8_std,0.006514545530080795,0,0
contrast_3_mean,0.006435219664126635,0,0
mfcc_delta_12_std,0.006333453115075827,0,0
mfcc_delta_10_p90,0.006293325684964657,0,0
contrast_5_mean,0.006177637260407209,0,0
mfcc_1_std,0.0061682770028710365,0,0
mfcc_delta_9_std,0.0060737598687410355,0,0
mfcc_13_p10,0.006030343472957611,0,0
mfcc_0_mean,0.005992664489895105,0,0
contrast_1_p10,0.005965749267488718,0,0
mfcc_4_mean,0.00595185486599803,0,0
bandwidth_mean,0.005925845354795456,0,0
spectral_entropy_p10,0.005824050400406122,0,0
contrast_5_std,0.04292257875204086,0,1
bandwidth_std,0.02639164589345455,0,1
mfcc_6_p10,0.02118387632071972,0,1
rms_p90,0.019422488287091255,0,1
centroid_p10,0.0175339262932539,0,1
rolloff85_p10,0.016533110290765762,0,1
rms_mean,0.014654546976089478,0,1
mfcc_8_p10,0.014280108734965324,0,1
rolloff85_p90,0.013462686911225319,0,1
mfcc_14_p10,0.012660321779549122,0,1
mfcc_delta_12_p10,0.012648974545300007,0,1
contrast_5_p10,0.012517235241830349,0,1
mfcc_10_p90,0.011918148025870323,0,1
contrast_1_mean,0.011307102628052235,0,1
mfcc_9_p90,0.010887714102864265,0,1
mfcc_2_p90,0.010595446452498436,0,1
contrast_5_p90,0.009584734216332436,0,1
contrast_2_p10,0.009446904063224792,0,1
mfcc_5_p90,0.009378243237733841,0,1
dominant_frequency_ratio,0.009046382270753384,0,1
flatness_p90,0.008712281472980976,0,1
flatness_std,0.00866378378123045,0,1
mfcc_delta_3_p90,0.008530871011316776,0,1
mfcc_15_p10,0.008437136188149452,0,1
mfcc_9_p10,0.008400543592870235,0,1
contrast_5_mean,0.008158067241311073,0,1
contrast_0_std,0.008125809021294117,0,1
mfcc_3_std,0.007940992712974548,0,1
contrast_4_std,0.007360238581895828,0,1
mfcc_delta_1_p10,0.007329187355935574,0,1
mfcc_delta_8_p90,0.007242192048579454,0,1
centroid_std,0.007181051652878523,0,1
mfcc_4_std,0.006853410974144936,0,1
spectral_entropy_p10,0.006840793415904045,0,1
mfcc_0_p10,0.006813810672610998,0,1
spectral_entropy_mean,0.006810330785810947,0,1
mfcc_18_p90,0.00663580559194088,0,1
