fold,part,species,clips,tapes
0,train,HumpbackWhale,220,10
0,train,KillerWhale,1663,43
0,train,SpermWhale,649,36
0,validation,HumpbackWhale,254,1
0,validation,KillerWhale,416,10
0,validation,SpermWhale,161,10
0,test,HumpbackWhale,72,1
0,test,KillerWhale,522,12
0,test,SpermWhale,203,12
1,train,HumpbackWhale,230,10
1,train,KillerWhale,1664,43
1,train,SpermWhale,648,35
1,validation,HumpbackWhale,62,1
1,validation,KillerWhale,418,9
1,validation,SpermWhale,163,11
1,test,HumpbackWhale,254,1
1,test,KillerWhale,519,13
1,test,SpermWhale,202,12
2,train,HumpbackWhale,415,7
2,train,KillerWhale,1664,43
2,train,SpermWhale,650,38
2,validation,HumpbackWhale,62,1
2,validation,KillerWhale,417,9
2,validation,SpermWhale,161,9
2,test,HumpbackWhale,69,4
2,test,KillerWhale,520,13
2,test,SpermWhale,202,11
3,train,HumpbackWhale,436,7
3,train,KillerWhale,1663,43
3,train,SpermWhale,648,38
3,validation,HumpbackWhale,42,3
3,validation,KillerWhale,418,9
3,validation,SpermWhale,162,9
3,test,HumpbackWhale,68,2
3,test,KillerWhale,520,13
3,test,SpermWhale,203,11
4,train,HumpbackWhale,401,7
4,train,KillerWhale,1666,43
4,train,SpermWhale,648,36
4,validation,HumpbackWhale,62,1
4,validation,KillerWhale,415,8
4,validation,SpermWhale,162,10
4,test,HumpbackWhale,83,4
4,test,KillerWhale,520,14
4,test,SpermWhale,203,12
